程や 0.0010
程や计 0
[C31,A06] や计:0 や:0.0000
[C31,A07] や计:2 や:0.0031
[C31,A08] や计:0 や:0.0000
[C31,A09] や计:0 や:0.0000
[C31,A10] や计:0 や:0.0000
[C31,A11] や计:1 や:0.0015
[C31,A12] や计:1 や:0.0015
[C31,A13] や计:3 や:0.0046
[C31,A14] や计:7 や:0.0107
[C31,A15] や计:4 や:0.0061
[C31,A16] や计:3 や:0.0046
[C31,A17] や计:8 や:0.0122
[C31,A18] や计:12 や:0.0183
[C31,A19] や计:13 や:0.0198
[C31,A20] や计:7 や:0.0107
[C31,A21] や计:9 や:0.0137
[C31,A22] や计:10 や:0.0153
[C31,A23] や计:4 や:0.0061
[C31,A24] や计:2 や:0.0031
[C31,A25] や计:1 や:0.0015
[C32,A02] や计:1 や:0.0015
[C32,A03] や计:0 や:0.0000
[C32,A04] や计:0 や:0.0000
[C32,A05] や计:0 や:0.0000
[C32,A06] や计:1 や:0.0015
[C32,A07] や计:1 や:0.0015
[C32,A08] や计:2 や:0.0031
[C32,A09] や计:1 や:0.0015
[C32,A10] や计:1 や:0.0015
[C32,A11] や计:1 や:0.0015
[C32,A12] や计:1 や:0.0015
[C32,A13] や计:0 や:0.0000
[C32,A14] や计:5 や:0.0076
[C32,A15] や计:8 や:0.0122
[C32,A16] や计:3 や:0.0046
[C32,A17] や计:1 や:0.0015
[C32,A18] や计:1 や:0.0015
[C32,A19] や计:6 や:0.0092
[C32,A20] や计:3 や:0.0046
[C32,A21] や计:5 や:0.0076
[C32,A22] や计:2 や:0.0031
[C32,A23] や计:6 や:0.0092
[C32,A24] や计:3 や:0.0046
[C32,A25] や计:0 や:0.0000
[C33,A02] や计:0 や:0.0000
[C33,A03] や计:0 や:0.0000
[C33,A04] や计:0 や:0.0000
[C33,A05] や计:0 や:0.0000
[C33,A06] や计:0 や:0.0000
[C33,A07] や计:0 や:0.0000
[C33,A08] や计:0 や:0.0000
[C33,A09] や计:0 や:0.0000
[C33,A10] や计:1 や:0.0015
[C33,A11] や计:0 や:0.0000
[C33,A12] や计:0 や:0.0000
[C33,A13] や计:0 や:0.0000
[C33,A14] や计:1 や:0.0015
[C33,A15] や计:3 や:0.0046
[C33,A16] や计:2 や:0.0031
[C33,A17] や计:3 や:0.0046
[C33,A18] や计:0 や:0.0000
[C33,A19] や计:1 や:0.0015
[C33,A20] や计:1 や:0.0015
[C33,A21] や计:2 や:0.0031
[C33,A22] や计:1 や:0.0015
[C33,A23] や计:0 や:0.0000
[C33,A24] や计:0 や:0.0000
[C33,A25] や计:0 や:0.0000
[C34,A02] や计:0 や:0.0000
[C34,A03] や计:0 や:0.0000
[C34,A04] や计:0 や:0.0000
[C34,A05] や计:0 や:0.0000
[C34,A06] や计:0 や:0.0000
[C34,A07] や计:0 や:0.0000
[C34,A08] や计:0 や:0.0000
[C34,A09] や计:0 や:0.0000
[C34,A10] や计:0 や:0.0000
[C34,A11] や计:0 や:0.0000
[C34,A12] や计:0 や:0.0000
[C34,A13] や计:0 や:0.0000
[C34,A14] や计:1 や:0.0015
[C34,A15] や计:0 や:0.0000
[C34,A16] や计:1 や:0.0015
[C34,A17] や计:2 や:0.0031
[C34,A18] や计:0 や:0.0000
[C34,A19] や计:0 や:0.0000
[C34,A20] や计:2 や:0.0031
[C34,A21] や计:3 や:0.0046
[C34,A22] や计:2 や:0.0031
[C34,A23] や计:0 や:0.0000
[C34,A24] や计:1 や:0.0015
[C34,A25] や计:0 や:0.0000
[C35,A02] や计:0 や:0.0000
[C35,A03] や计:0 や:0.0000
[C35,A04] や计:0 や:0.0000
[C35,A05] や计:0 や:0.0000
[C35,A06] や计:0 や:0.0000
[C35,A07] や计:0 や:0.0000
[C35,A08] や计:0 や:0.0000
[C35,A09] や计:0 や:0.0000
[C35,A10] や计:0 や:0.0000
[C35,A11] や计:0 や:0.0000
[C35,A12] や计:1 や:0.0015
[C35,A13] や计:0 や:0.0000
[C35,A14] や计:1 や:0.0015
[C35,A15] や计:1 や:0.0015
[C35,A16] や计:0 や:0.0000
[C35,A17] や计:1 や:0.0015
[C35,A18] や计:0 や:0.0000
[C35,A19] や计:2 や:0.0031
[C35,A20] や计:2 や:0.0031
[C35,A21] や计:2 や:0.0031
[C35,A22] や计:4 や:0.0061
[C35,A23] や计:2 や:0.0031
[C35,A24] や计:0 や:0.0000
[C35,A25] や计:0 や:0.0000
[C37,A02] や计:2 や:0.0031
[C37,A03] や计:0 や:0.0000
[C37,A04] や计:0 や:0.0000
[C37,A05] や计:0 や:0.0000
[C37,A06] や计:0 や:0.0000
[C37,A07] や计:0 や:0.0000
[C37,A08] や计:0 や:0.0000
[C37,A09] や计:0 や:0.0000
[C37,A10] や计:0 や:0.0000
[C37,A11] や计:0 や:0.0000
[C37,A12] や计:1 や:0.0015
[C37,A13] や计:0 や:0.0000
[C37,A14] や计:1 や:0.0015
[C37,A15] や计:2 や:0.0031
[C37,A16] や计:3 や:0.0046
[C37,A17] や计:3 や:0.0046
[C37,A18] や计:1 や:0.0015
[C37,A19] や计:2 や:0.0031
[C37,A20] や计:5 や:0.0076
[C37,A21] や计:5 や:0.0076
[C37,A22] や计:6 や:0.0092
[C37,A23] や计:0 や:0.0000
[C37,A24] や计:1 や:0.0015
[C37,A25] や计:0 や:0.0000
[C38,A02] や计:0 や:0.0000
[C38,A03] や计:0 や:0.0000
[C38,A04] や计:0 や:0.0000
[C38,A05] や计:0 や:0.0000
[C38,A06] や计:0 や:0.0000
[C38,A07] や计:0 や:0.0000
[C38,A08] や计:0 や:0.0000
[C38,A09] や计:1 や:0.0015
[C38,A10] や计:1 や:0.0015
[C38,A11] や计:0 や:0.0000
[C38,A12] や计:0 や:0.0000
[C38,A13] や计:0 や:0.0000
[C38,A14] や计:0 や:0.0000
[C38,A15] や计:2 や:0.0031
[C38,A16] や计:1 や:0.0015
[C38,A17] や计:2 や:0.0031
[C38,A18] や计:5 や:0.0076
[C38,A19] や计:3 や:0.0046
[C38,A20] や计:3 や:0.0046
[C38,A21] や计:3 や:0.0046
[C38,A22] や计:1 や:0.0015
[C38,A23] や计:3 や:0.0046
[C38,A24] や计:0 や:0.0000
[C38,A25] や计:0 や:0.0000
[C39,A02] や计:1 や:0.0015
[C39,A03] や计:0 や:0.0000
[C39,A04] や计:0 や:0.0000
[C39,A05] や计:0 や:0.0000
[C39,A06] や计:0 や:0.0000
[C39,A07] や计:0 や:0.0000
[C39,A08] や计:0 や:0.0000
[C39,A09] や计:1 や:0.0015
[C39,A10] や计:0 や:0.0000
[C39,A11] や计:0 や:0.0000
[C39,A12] や计:1 や:0.0015
[C39,A13] や计:1 や:0.0015
[C39,A14] や计:0 や:0.0000
[C39,A15] や计:0 や:0.0000
[C39,A16] や计:1 や:0.0015
[C39,A17] や计:0 や:0.0000
[C39,A18] や计:3 や:0.0046
[C39,A19] や计:0 や:0.0000
[C39,A20] や计:5 や:0.0076
[C39,A21] や计:7 や:0.0107
[C39,A22] や计:4 や:0.0061
[C39,A23] や计:1 や:0.0015
[C39,A24] や计:0 や:0.0000
[C39,A25] や计:0 や:0.0000
[C40,A02] や计:0 や:0.0000
[C40,A03] や计:0 や:0.0000
[C40,A04] や计:0 や:0.0000
[C40,A05] や计:0 や:0.0000
[C40,A06] や计:0 や:0.0000
[C40,A07] や计:0 や:0.0000
[C40,A08] や计:0 や:0.0000
[C40,A09] や计:0 や:0.0000
[C40,A10] や计:0 や:0.0000
[C40,A11] や计:1 や:0.0015
[C40,A12] や计:0 や:0.0000
[C40,A13] や计:1 や:0.0015
[C40,A14] や计:1 や:0.0015
[C40,A15] や计:4 や:0.0061
[C40,A16] や计:2 や:0.0031
[C40,A17] や计:1 や:0.0015
[C40,A18] や计:3 や:0.0046
[C40,A19] や计:4 や:0.0061
[C40,A20] や计:0 や:0.0000
[C40,A21] や计:5 や:0.0076
[C40,A22] や计:3 や:0.0046
[C40,A23] や计:3 や:0.0046
[C40,A24] や计:0 や:0.0000
[C40,A25] や计:0 や:0.0000
[C43,A02] や计:0 や:0.0000
[C43,A03] や计:0 や:0.0000
[C43,A04] や计:0 や:0.0000
[C43,A05] や计:0 や:0.0000
[C43,A06] や计:0 や:0.0000
[C43,A07] や计:0 や:0.0000
[C43,A08] や计:0 や:0.0000
[C43,A09] や计:0 や:0.0000
[C43,A10] や计:0 や:0.0000
[C43,A11] や计:0 や:0.0000
[C43,A12] や计:1 や:0.0015
[C43,A13] や计:0 や:0.0000
[C43,A14] や计:2 や:0.0031
[C43,A15] や计:3 や:0.0046
[C43,A16] や计:2 や:0.0031
[C43,A17] や计:3 や:0.0046
[C43,A18] や计:4 や:0.0061
[C43,A19] や计:3 や:0.0046
[C43,A20] や计:6 や:0.0092
[C43,A21] や计:6 や:0.0092
[C43,A22] や计:5 や:0.0076
[C43,A23] や计:2 や:0.0031
[C43,A24] や计:0 や:0.0000
[C43,A25] や计:0 や:0.0000
[C44,A02] や计:0 や:0.0000
[C44,A03] や计:0 や:0.0000
[C44,A04] や计:0 や:0.0000
[C44,A05] や计:0 や:0.0000
[C44,A06] や计:0 や:0.0000
[C44,A07] や计:0 や:0.0000
[C44,A08] や计:0 や:0.0000
[C44,A09] や计:0 や:0.0000
[C44,A10] や计:0 や:0.0000
[C44,A11] や计:0 や:0.0000
[C44,A12] や计:0 や:0.0000
[C44,A13] や计:0 や:0.0000
[C44,A14] や计:0 や:0.0000
[C44,A15] や计:1 や:0.0015
[C44,A16] や计:0 や:0.0000
[C44,A17] や计:0 や:0.0000
[C44,A18] や计:0 や:0.0000
[C44,A19] や计:1 や:0.0015
[C44,A20] や计:0 や:0.0000
[C44,A21] や计:0 や:0.0000
[C44,A22] や计:1 や:0.0015
[C44,A23] や计:0 や:0.0000
[C44,A24] や计:0 や:0.0000
[C44,A25] や计:0 や:0.0000
[C45,A02] や计:0 や:0.0000
[C45,A03] や计:0 や:0.0000
[C45,A04] や计:0 や:0.0000
[C45,A05] や计:0 や:0.0000
[C45,A06] や计:0 や:0.0000
[C45,A07] や计:0 や:0.0000
[C45,A08] や计:0 や:0.0000
[C45,A09] や计:0 や:0.0000
[C45,A10] や计:0 や:0.0000
[C45,A11] や计:1 や:0.0015
[C45,A12] や计:0 や:0.0000
[C45,A13] や计:0 や:0.0000
[C45,A14] や计:0 や:0.0000
[C45,A15] や计:1 や:0.0015
[C45,A16] や计:3 や:0.0046
[C45,A17] や计:1 や:0.0015
[C45,A18] や计:3 や:0.0046
[C45,A19] や计:1 や:0.0015
[C45,A20] や计:1 や:0.0015
[C45,A21] や计:3 や:0.0046
[C45,A22] や计:4 や:0.0061
[C45,A23] や计:2 や:0.0031
[C45,A24] や计:1 や:0.0015
[C45,A25] や计:0 や:0.0000
[C46,A02] や计:0 や:0.0000
[C46,A03] や计:0 や:0.0000
[C46,A04] や计:0 や:0.0000
[C46,A05] や计:0 や:0.0000
[C46,A06] や计:0 や:0.0000
[C46,A07] や计:0 や:0.0000
[C46,A08] や计:0 や:0.0000
[C46,A09] や计:0 や:0.0000
[C46,A10] や计:0 や:0.0000
[C46,A11] や计:1 や:0.0015
[C46,A12] や计:0 や:0.0000
[C46,A13] や计:0 や:0.0000
[C46,A14] や计:0 や:0.0000
[C46,A15] や计:1 や:0.0015
[C46,A16] や计:0 や:0.0000
[C46,A17] や计:0 や:0.0000
[C46,A18] や计:1 や:0.0015
[C46,A19] や计:2 や:0.0031
[C46,A20] や计:2 や:0.0031
[C46,A21] や计:1 や:0.0015
[C46,A22] や计:1 や:0.0015
[C46,A23] や计:0 や:0.0000
[C46,A24] や计:0 や:0.0000
[C46,A25] や计:0 や:0.0000
[C90,A02] や计:0 や:0.0000
[C90,A03] や计:0 や:0.0000
[C90,A04] や计:0 や:0.0000
[C90,A05] や计:0 や:0.0000
[C90,A06] や计:0 や:0.0000
[C90,A07] や计:0 や:0.0000
[C90,A08] や计:0 や:0.0000
[C90,A09] や计:0 や:0.0000
[C90,A10] や计:0 や:0.0000
[C90,A11] や计:0 や:0.0000
[C90,A12] や计:0 や:0.0000
[C90,A13] や计:0 や:0.0000
[C90,A14] や计:0 や:0.0000
[C90,A15] や计:1 や:0.0015
[C90,A16] や计:0 や:0.0000
[C90,A17] や计:0 や:0.0000
[C90,A18] や计:1 や:0.0015
[C90,A19] や计:0 や:0.0000
[C90,A20] や计:0 や:0.0000
[C90,A21] や计:0 や:0.0000
[C90,A22] や计:0 や:0.0000
[C90,A23] や计:0 や:0.0000
[C90,A24] や计:0 や:0.0000
[C90,A25] や计:0 や:0.0000
[S1,A02] や计:4 や:0.0061
[S1,A03] や计:1 や:0.0015
[S1,A04] や计:1 や:0.0015
[S1,A05] や计:1 や:0.0015
[S1,A06] や计:0 や:0.0000
[S1,A07] や计:4 や:0.0061
[S1,A08] や计:0 や:0.0000
[S1,A09] や计:2 や:0.0031
[S1,A10] や计:3 や:0.0046
[S1,A11] や计:1 や:0.0015
[S1,A12] や计:8 や:0.0122
[S1,A13] や计:10 や:0.0153
[S1,A14] や计:22 や:0.0336
[S1,A15] や计:35 や:0.0534
[S1,A16] や计:26 や:0.0397
[S1,A17] や计:44 や:0.0672
[S1,A18] や计:30 や:0.0458
[S1,A19] や计:37 や:0.0565
[S1,A20] や计:29 や:0.0443
[S1,A21] や计:46 や:0.0702
[S1,A22] や计:31 や:0.0473
[S1,A23] や计:14 や:0.0214
[S1,A24] や计:9 や:0.0137
[S1,A25] や计:0 や:0.0000
[S2,A02] や计:11 や:0.0168
[S2,A03] や计:0 や:0.0000
[S2,A04] や计:0 や:0.0000
[S2,A05] や计:1 や:0.0015
[S2,A06] や计:2 や:0.0031
[S2,A07] や计:0 や:0.0000
[S2,A08] や计:2 や:0.0031
[S2,A09] や计:2 や:0.0031
[S2,A10] や计:2 や:0.0031
[S2,A11] や计:4 や:0.0061
[S2,A12] や计:4 や:0.0061
[S2,A13] や计:6 や:0.0092
[S2,A14] や计:8 や:0.0122
[S2,A15] や计:9 や:0.0137
[S2,A16] や计:13 や:0.0198
[S2,A17] や计:11 や:0.0168
[S2,A18] や计:27 や:0.0412
[S2,A19] や计:43 や:0.0656
[S2,A20] や计:36 や:0.0550
[S2,A21] や计:42 や:0.0641
[S2,A22] や计:39 や:0.0595
[S2,A23] や计:24 や:0.0366
[S2,A24] や计:8 や:0.0122
[S2,A25] や计:3 や:0.0046
[C01, S1, A02], や计0 や:0.0000
[C01, S1, A03], や计0 や:0.0000
[C01, S1, A04], や计0 や:0.0000
[C01, S1, A05], や计0 や:0.0000
[C01, S1, A06], や计0 や:0.0000
[C01, S1, A07], や计0 や:0.0000
[C01, S1, A08], や计0 や:0.0000
[C01, S1, A09], や计0 や:0.0000
[C01, S1, A10], や计0 や:0.0000
[C01, S1, A11], や计0 や:0.0000
[C01, S1, A12], や计3 や:0.0046
[C01, S1, A13], や计0 や:0.0000
[C01, S1, A14], や计3 や:0.0046
[C01, S1, A15], や计2 や:0.0031
[C01, S1, A16], や计2 や:0.0031
[C01, S1, A17], や计5 や:0.0076
[C01, S1, A18], や计2 や:0.0031
[C01, S1, A19], や计6 や:0.0092
[C01, S1, A20], や计3 や:0.0046
[C01, S1, A21], や计5 や:0.0076
[C01, S1, A22], や计2 や:0.0031
[C01, S1, A23], や计1 や:0.0015
[C01, S1, A24], や计0 や:0.0000
[C01, S1, A25], や计0 や:0.0000
[C01, S2, A02], や计3 や:0.0046
[C01, S2, A03], や计0 や:0.0000
[C01, S2, A04], や计0 や:0.0000
[C01, S2, A05], や计0 や:0.0000
[C01, S2, A06], や计0 や:0.0000
[C01, S2, A07], や计0 や:0.0000
[C01, S2, A08], や计0 や:0.0000
[C01, S2, A09], や计0 や:0.0000
[C01, S2, A10], や计0 や:0.0000
[C01, S2, A11], や计0 や:0.0000
[C01, S2, A12], や计0 や:0.0000
[C01, S2, A13], や计1 や:0.0015
[C01, S2, A14], や计0 や:0.0000
[C01, S2, A15], や计1 や:0.0015
[C01, S2, A16], や计1 や:0.0015
[C01, S2, A17], や计2 や:0.0031
[C01, S2, A18], や计2 や:0.0031
[C01, S2, A19], や计7 や:0.0107
[C01, S2, A20], や计6 や:0.0092
[C01, S2, A21], や计8 や:0.0122
[C01, S2, A22], や计4 や:0.0061
[C01, S2, A23], や计1 や:0.0015
[C01, S2, A24], や计2 や:0.0031
[C01, S2, A25], や计1 や:0.0015
[C03, S1, A02], や计1 や:0.0015
[C03, S1, A03], や计0 や:0.0000
[C03, S1, A04], や计0 や:0.0000
[C03, S1, A05], や计1 や:0.0015
[C03, S1, A06], や计0 や:0.0000
[C03, S1, A07], や计0 や:0.0000
[C03, S1, A08], や计0 や:0.0000
[C03, S1, A09], や计0 や:0.0000
[C03, S1, A10], や计0 や:0.0000
[C03, S1, A11], や计0 や:0.0000
[C03, S1, A12], や计0 や:0.0000
[C03, S1, A13], や计1 や:0.0015
[C03, S1, A14], や计1 や:0.0015
[C03, S1, A15], や计5 や:0.0076
[C03, S1, A16], や计2 や:0.0031
[C03, S1, A17], や计7 や:0.0107
[C03, S1, A18], や计4 や:0.0061
[C03, S1, A19], や计5 や:0.0076
[C03, S1, A20], や计4 や:0.0061
[C03, S1, A21], や计5 や:0.0076
[C03, S1, A22], や计3 や:0.0046
[C03, S1, A23], や计2 や:0.0031
[C03, S1, A24], や计3 や:0.0046
[C03, S1, A25], や计0 や:0.0000
[C03, S2, A02], や计1 や:0.0015
[C03, S2, A03], や计0 や:0.0000
[C03, S2, A04], や计0 や:0.0000
[C03, S2, A05], や计0 や:0.0000
[C03, S2, A06], や计1 や:0.0015
[C03, S2, A07], や计0 や:0.0000
[C03, S2, A08], や计0 や:0.0000
[C03, S2, A09], や计0 や:0.0000
[C03, S2, A10], や计1 や:0.0015
[C03, S2, A11], や计0 や:0.0000
[C03, S2, A12], や计1 や:0.0015
[C03, S2, A13], や计3 や:0.0046
[C03, S2, A14], や计0 や:0.0000
[C03, S2, A15], や计0 や:0.0000
[C03, S2, A16], や计1 や:0.0015
[C03, S2, A17], や计2 や:0.0031
[C03, S2, A18], や计1 や:0.0015
[C03, S2, A19], や计6 や:0.0092
[C03, S2, A20], や计7 や:0.0107
[C03, S2, A21], や计2 や:0.0031
